Station_ID,lat,lon,capacity,type
P1,40.85,-73.85,21.0,DPV
P2,41.05,-73.65,33.0,DPV
P3,41.05,-73.75,33.0,DPV
P4,41.05,-73.85,33.0,DPV
P5,41.15,-73.65,33.0,DPV
P6,41.15,-73.75,33.0,DPV
P7,41.15,-73.85,33.0,DPV
P8,41.15,-73.95,35.0,DPV
P9,41.15,-74.05,35.0,DPV
P10,41.25,-73.55,38.0,UPV
P11,41.25,-73.65,33.0,DPV
P12,41.25,-73.75,33.0,DPV
P13,41.25,-73.85,33.0,DPV
P14,41.25,-74.05,35.0,DPV
P15,41.25,-74.15,29.0,UPV
P16,41.25,-74.25,126.0,UPV
P17,41.35,-73.75,33.0,DPV
P18,41.35,-74.35,33.0,DPV
P19,41.35,-74.45,23.0,UPV
P20,41.45,-73.75,35.0,DPV
P21,41.45,-73.85,29.0,UPV
P22,41.45,-74.25,33.0,DPV
P23,41.45,-74.35,33.0,DPV
P24,41.45,-74.55,88.0,UPV
P25,41.55,-73.65,101.0,UPV
P26,41.55,-73.75,76.0,UPV
P27,41.55,-73.95,50.0,UPV
P28,41.55,-74.15,50.0,UPV
P29,41.55,-74.25,101.0,UPV
P30,41.55,-74.35,33.0,DPV
P31,41.55,-74.35,13.0,UPV
P32,41.55,-74.45,88.0,UPV
P33,41.65,-73.55,25.0,UPV
P34,41.65,-73.65,101.0,UPV
P35,41.65,-73.75,50.0,UPV
P36,41.65,-74.25,76.0,UPV
P37,41.75,-73.65,34.0,DPV
P38,41.75,-73.75,34.0,DPV
P39,41.75,-74.05,76.0,UPV
P40,41.75,-74.15,35.0,UPV
P41,41.85,-73.75,34.0,DPV
P42,41.85,-74.25,13.0,UPV
P43,41.95,-73.85,50.0,UPV
P44,41.95,-74.15,63.0,UPV
P45,41.95,-74.25,32.0,DPV
P46,41.95,-74.35,88.0,UPV
P47,42.05,-73.75,38.0,UPV
P48,42.05,-73.85,88.0,UPV
P49,42.05,-74.25,32.0,DPV
P50,42.05,-74.25,13.0,UPV
P51,42.05,-76.95,88.0,UPV
P52,42.05,-77.15,113.0,UPV
P53,42.15,-73.75,13.0,UPV
P54,42.15,-74.05,13.0,UPV
P55,42.15,-75.85,34.0,DPV
P56,42.15,-76.75,31.0,DPV
P57,42.15,-77.35,113.0,UPV
P59,42.25,-75.85,34.0,DPV
P60,42.25,-77.05,76.0,UPV
P62,42.45,-76.45,18.0,DPV
P64,42.55,-73.85,35.0,DPV
P65,42.55,-73.95,35.0,DPV
P66,42.55,-73.95,25.0,UPV
P67,42.55,-74.05,76.0,UPV
P68,42.55,-74.15,88.0,UPV
P69,42.55,-76.45,18.0,DPV
P70,42.65,-73.95,35.0,DPV
P71,42.65,-74.05,76.0,UPV
P72,42.65,-74.15,38.0,UPV
P74,42.75,-73.55,27.0,DPV
P75,42.75,-73.75,38.0,UPV
P76,42.75,-73.85,38.0,UPV
P77,42.75,-73.95,38.0,UPV
P78,42.75,-76.85,12.0,DPV
P79,42.85,-73.55,27.0,DPV
P80,42.85,-73.85,76.0,UPV
P81,42.85,-74.05,26.0,DPV
P82,42.85,-74.05,113.0,UPV
P83,42.85,-77.35,18.0,DPV
P84,42.95,-74.05,26.0,DPV
P85,42.95,-74.05,25.0,UPV
P86,42.95,-74.45,17.0,DPV
P87,42.95,-75.65,24.0,DPV
P88,42.95,-76.15,32.0,DPV
P89,42.95,-76.25,101.0,UPV
P90,42.95,-77.35,18.0,DPV
P91,43.05,-75.45,76.0,UPV
P92,43.05,-76.05,32.0,DPV
P93,43.05,-76.15,32.0,DPV
P94,43.05,-76.25,32.0,DPV
P95,43.05,-76.55,28.0,DPV
P96,43.05,-77.55,50.0,UPV
P97,43.05,-78.15,20.0,DPV
P98,43.05,-78.75,126.0,UPV
P99,43.15,-73.75,25.0,DPV
P100,43.15,-73.85,25.0,DPV
P101,43.15,-74.45,19.0,DPV
P102,43.15,-75.45,88.0,UPV
P103,43.15,-75.65,38.0,UPV
P104,43.15,-76.15,32.0,DPV
