Station_ID,lat,lon,capacity,type
P1,40.85,-73.85,21.0,DPV
P2,41.05,-73.65,33.0,DPV
P3,41.05,-73.75,33.0,DPV
P4,41.05,-73.85,33.0,DPV
P5,41.15,-73.65,33.0,DPV
P6,41.15,-73.75,33.0,DPV
P7,41.15,-73.85,33.0,DPV
P8,41.15,-73.95,35.0,DPV
P9,41.15,-74.05,35.0,DPV
P10,41.25,-73.55,38.0,UPV
P11,41.25,-73.65,33.0,DPV
P12,41.25,-73.75,33.0,DPV
P13,41.25,-73.85,33.0,DPV
P14,41.25,-74.05,35.0,DPV
P15,41.25,-74.15,29.0,UPV
P16,41.25,-74.25,126.0,UPV
P17,41.35,-73.75,33.0,DPV
P18,41.35,-74.35,33.0,DPV
P19,41.35,-74.45,23.0,UPV
P20,41.45,-73.75,35.0,DPV
P21,41.45,-73.85,29.0,UPV
P22,41.45,-74.25,33.0,DPV
P23,41.45,-74.35,33.0,DPV
P24,41.45,-74.55,88.0,UPV
P25,41.55,-73.65,101.0,UPV
P26,41.55,-73.75,76.0,UPV
P27,41.55,-73.95,50.0,UPV
P28,41.55,-74.15,50.0,UPV
P29,41.55,-74.25,101.0,UPV
P30,41.55,-74.35,33.0,DPV
P31,41.55,-74.35,13.0,UPV
P32,41.55,-74.45,88.0,UPV
P33,41.65,-73.55,25.0,UPV
P34,41.65,-73.65,101.0,UPV
P35,41.65,-73.75,50.0,UPV
P36,41.65,-74.25,76.0,UPV
P37,41.75,-73.65,34.0,DPV
P38,41.75,-73.75,34.0,DPV
P39,41.75,-74.05,76.0,UPV
P40,41.75,-74.15,35.0,UPV
P41,41.85,-73.75,34.0,DPV
P42,41.85,-74.25,13.0,UPV
P43,41.95,-73.85,50.0,UPV
P44,41.95,-74.15,63.0,UPV
P45,41.95,-74.25,32.0,DPV
P46,41.95,-74.35,88.0,UPV
P47,42.05,-73.75,38.0,UPV
P48,42.05,-73.85,88.0,UPV
P49,42.05,-74.25,32.0,DPV
P50,42.05,-74.25,13.0,UPV
